id,systemcodenumber,capacity,latitude,longitude,occupancy,vehicletype,trafficconditionnearby,queuelength,isspecialday,lastupdateddate,lastupdatedtime,timestamp,vehicle_weight,occupancy_rate,baseline_price,raw_demand,norm_demand,demand_price,competitive_price,reroute
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,0.0,1,0,04-10-2016,07:59:00,2025-01-01 08:00:00,1.0,0.10571923743500866,10.211438474870018,1.7114384748700173,0.10438815961491883,10.83510527691935,11.445677283104782,False
18,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,0.0,1,0,05-10-2016,07:57:00,2025-01-01 08:00:00,1.0,0.09358752166377816,10.398613518197575,1.6871750433275563,0.10222946798329571,10.817835743866366,11.445677283104782,False
36,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,0.0,1,0,06-10-2016,07:57:00,2025-01-01 08:00:00,1.0,0.10051993067590988,10.599653379549395,1.7010398613518198,0.10346300605850892,10.827704048468071,11.445677283104782,False
54,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,0.0,2,0,07-10-2016,08:03:00,2025-01-01 08:00:00,1.0,0.10051993067590988,10.800693240901214,2.20103986135182,0.1479474728958857,11.183579783167087,11.445677283104782,False
72,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,0.0,1,0,08-10-2016,07:57:00,2025-01-01 08:00:00,1.0,0.10051993067590988,11.001733102253034,1.7010398613518198,0.10346300605850892,10.827704048468071,11.445677283104782,False
90,BHMBCCMKT01,577,26.14453614,91.73617216,42,car,0.0,2,1,09-10-2016,08:04:00,2025-01-01 08:00:00,1.0,0.07279029462738301,11.1473136915078,3.645580589254766,0.2764667211071632,12.211733768857304,11.445677283104782,False
108,BHMBCCMKT01,577,26.14453614,91.73617216,54,bike,0.0,1,0,10-10-2016,08:04:00,2025-01-01 08:00:00,0.5,0.09358752166377816,11.334488734835357,1.1871750433275563,0.05774500114591891,10.46196000916735,11.445677283104782,False
126,BHMBCCMKT01,577,26.14453614,91.73617216,56,bike,0.0,1,0,11-10-2016,08:04:00,2025-01-01 08:00:00,0.5,0.09705372616984402,11.528596187175046,1.1941074523396882,0.058361770183525535,10.466894161468204,11.445677283104782,False
144,BHMBCCMKT01,577,26.14453614,91.73617216,51,bike,0.0,1,0,12-10-2016,08:04:00,2025-01-01 08:00:00,0.5,0.08838821490467938,11.705372616984404,1.1767764298093588,0.056819847589509004,10.454558780716072,11.445677283104782,False
162,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,0.0,2,0,13-10-2016,07:57:00,2025-01-01 08:00:00,1.0,0.10051993067590988,11.906412478336224,2.20103986135182,0.1479474728958857,11.183579783167087,11.445677283104782,False
